ds,yhat,yhat_lower,yhat_upper
2015-05-14,457.705497597721,-82.43261542830565,986.6428094110851
2015-05-15,459.8312429562783,-48.34311552065201,1002.3082446193374
2015-05-16,460.85432496442303,-69.232929154697,989.5020137117166
2015-05-17,460.80899699913846,-36.20193459470381,997.4293365873801
2015-05-18,459.7603831376401,-94.29697138348482,970.1961020422602
2015-05-19,457.8016574974019,-19.944259187420204,990.6864903143725
2015-05-20,455.0504953217044,-34.89172270569011,989.0321034887718
2015-05-21,451.64490766414565,-49.17983294541396,963.1268821468677
2015-05-22,447.7385876401971,-48.659968945155704,965.2393684728006
2015-05-23,443.495908507757,-55.6939961812002,952.4999748775494
2015-05-24,439.0867219939281,-29.635978904766006,921.3016135327189
2015-05-25,434.6811091019084,-81.47430541610137,941.1355158535526
2015-05-26,430.44423503671635,-83.23022699337038,956.3606710337028
2015-05-27,426.5314549384216,-111.33687943819724,968.4965917888117
2015-05-28,423.08380798621346,-106.36056272964403,927.2362868128579
2015-05-29,420.2240244379189,-104.29325634051276,921.2989508121374
2015-05-30,418.05315370529416,-61.809581179278084,923.9037639220036
2015-05-31,416.6479021456308,-102.98821176448152,926.883240131545
2015-06-01,416.0587474627799,-92.94453582888194,928.3277738979185
2015-06-02,416.30887310955615,-108.21718015661307,955.7616363019523
2015-06-03,417.39394156726655,-100.02895956597149,971.7576472350034
2015-06-04,419.282700568676,-127.93336645368231,964.5512762786445
2015-06-05,421.91839195524926,-104.84129664398696,931.7326337654506
